date,year,home_team,away_team,home_team_clean,away_team_clean,tournament,home_matches_before,away_matches_before,matches_before_diff,home_win_rate_before,away_win_rate_before,win_rate_diff,home_draw_rate_before,away_draw_rate_before,draw_rate_diff,home_avg_goals_for_before,away_avg_goals_for_before,avg_goals_for_diff,home_avg_goals_against_before,away_avg_goals_against_before,avg_goals_against_diff,home_goal_diff_per_match_before,away_goal_diff_per_match_before,goal_diff_per_match_diff,is_neutral,is_world_cup,is_friendly,result,_row_id,home_fifa_ref_date,home_fifa_rank,home_fifa_total_points,away_fifa_ref_date,away_fifa_rank,away_fifa_total_points,home_ref_date,home_elo,away_ref_date,away_elo,fifa_rank_advantage,fifa_points_diff,elo_diff,is_qualifier,is_nations_league,is_continental_cup,rank_gap_abs,home_rank_strength,away_rank_strength,rank_strength_diff,home_is_top10,away_is_top10,top10_diff,home_is_top25,away_is_top25,top25_diff,attack_form_diff,form_score_diff
2018-03-21,2018,Madagascar,Togo,madagascar,togo,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,1,1,23,2018-03-15,109.0,309.49,2018-03-15,128.0,240.73,,,,,19.0,68.76000000000002,,0,0,0,19.0,0.009174311926605505,0.0078125,0.001361811926605505,0,0,0,0,0,0,0.0,0.0
2018-03-21,2018,South Africa,Angola,south africa,angola,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,1,1,24,2018-03-15,76.0,440.01,2018-03-15,141.0,210.08,,,,,65.0,229.92999999999998,,0,0,0,65.0,0.013157894736842105,0.0070921985815602835,0.006065696155281821,0,0,0,0,0,0,0.0,0.0
2018-03-21,2018,Tahiti,New Caledonia,tahiti,new caledonia,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,25,2018-03-15,153.0,148.75,2018-03-15,155.0,145.68,,,,,2.0,3.069999999999993,,0,0,0,2.0,0.006535947712418301,0.0064516129032258064,8.43348091924944e-05,0,0,0,0,0,0,0.0,0.0
2018-03-21,2018,Jordan,Kuwait,jordan,kuwait,Friendly,1,0,1,0.0,0.5,-0.5,0.0,0.25,-0.25,1.0,1.0,0.0,2.0,1.0,1.0,-1.0,0.0,-1.0,0,0,1,2,26,2018-03-15,117.0,275.5,2018-03-15,173.0,100.74,,,,,56.0,174.76,,0,0,0,56.0,0.008547008547008548,0.005780346820809248,0.0027666617261992996,0,0,0,0,0,0,-1.0,-0.575
2018-03-22,2018,Dominican Republic,Turks and Caicos Islands,dominican republic,turks and caicos islands,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,2,27,2018-03-15,163.0,120.56,2018-03-15,201.0,13.2,,,,,38.0,107.36,,0,0,0,38.0,0.006134969325153374,0.004975124378109453,0.0011598449470439217,0,0,0,0,0,0,0.0,0.0
2018-03-22,2018,Burkina Faso,Guinea-Bissau,burkina faso,guinea bissau,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,1,2,28,2018-03-15,56.0,587.4,2018-03-15,96.0,367.74,,,,,40.0,219.65999999999997,,0,0,0,40.0,0.017857142857142856,0.010416666666666666,0.00744047619047619,0,0,0,0,0,0,0.0,0.0
2018-03-22,2018,Denmark,Panama,denmark,panama,Friendly,1,0,1,0.0,0.5,-0.5,0.0,0.25,-0.25,0.0,1.0,-1.0,1.0,1.0,0.0,-1.0,0.0,-1.0,0,0,1,2,29,2018-03-15,12.0,1108.33,2018-03-15,53.0,605.12,,,,,41.0,503.2099999999999,,0,0,0,41.0,0.08333333333333333,0.018867924528301886,0.06446540880503145,0,0,0,1,0,1,-1.0,-0.575
2018-03-22,2018,Faroe Islands,Latvia,faroe islands,latvia,Friendly,0,1,-1,0.5,0.0,0.5,0.25,0.0,0.25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,1.0,1,0,1,1,31,2018-03-15,97.0,363.64,2018-03-15,131.0,231.02,,,,,34.0,132.61999999999998,,0,0,0,34.0,0.010309278350515464,0.007633587786259542,0.002675690564255922,0,0,0,0,0,0,1.0,0.575
2018-03-22,2018,Bahrain,Palestine,bahrain,palestine,Friendly,1,0,1,0.0,0.5,-0.5,0.0,0.25,-0.25,0.0,1.0,-1.0,1.0,1.0,0.0,-1.0,0.0,-1.0,0,0,1,1,32,2018-03-15,125.0,253.14,2018-03-15,73.0,449.49,,,,,-52.0,-196.35000000000002,,0,0,0,52.0,0.008,0.0136986301369863,-0.0056986301369863004,0,0,0,0,0,0,-1.0,-0.575
2018-03-22,2018,Algeria,Tanzania,algeria,tanzania,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,2,33,2018-03-15,60.0,552.93,2018-03-15,146.0,185.88,,,,,86.0,367.04999999999995,,0,0,0,86.0,0.016666666666666666,0.00684931506849315,0.009817351598173516,0,0,0,0,0,0,0.0,0.0
2018-03-22,2018,Belize,Grenada,belize,grenada,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,2,34,2018-03-15,177.0,96.14,2018-03-15,159.0,125.85,,,,,-18.0,-29.709999999999994,,0,0,0,18.0,0.005649717514124294,0.006289308176100629,-0.0006395906619763355,0,0,0,0,0,0,0.0,0.0
2018-03-22,2018,Thailand,Gabon,thailand,gabon,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,35,2018-03-15,129.0,238.23,2018-03-15,95.0,370.94,,,,,-34.0,-132.71,,0,0,0,34.0,0.007751937984496124,0.010526315789473684,-0.00277437780497756,0,0,0,0,0,0,0.0,0.0
2018-03-22,2018,Malaysia,Mongolia,malaysia,mongolia,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,36,2018-03-15,178.0,95.3,2018-03-15,189.0,48.88,,,,,11.0,46.419999999999995,,0,0,0,11.0,0.0056179775280898875,0.005291005291005291,0.0003269722370845968,0,0,0,0,0,0,0.0,0.0
2018-03-22,2018,Malta,Luxembourg,malta,luxembourg,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,37,2018-03-15,185.0,68.2,2018-03-15,83.0,405.22,,,,,-102.0,-337.02000000000004,,0,0,0,102.0,0.005405405405405406,0.012048192771084338,-0.006642787365678932,0,0,0,0,0,0,0.0,0.0
2018-03-22,2018,Nicaragua,Cuba,nicaragua,cuba,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,2,38,2018-03-15,116.0,276.62,2018-03-15,182.0,88.23,,,,,66.0,188.39,,0,0,0,66.0,0.008620689655172414,0.005494505494505495,0.0031261841606669187,0,0,0,0,0,0,0.0,0.0
2018-03-22,2018,Philippines,Fiji,philippines,fiji,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,2,39,2018-03-15,122.0,264.82,2018-03-15,168.0,110.15,,,,,46.0,154.67,,0,0,0,46.0,0.00819672131147541,0.005952380952380952,0.002244340359094458,0,0,0,0,0,0,0.0,0.0
2018-03-22,2018,Slovakia,United Arab Emirates,slovakia,united arab emirates,Friendly,0,2,-2,0.5,0.0,0.5,0.25,1.0,-0.75,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,1,2,40,2018-03-15,29.0,822.08,2018-03-15,79.0,430.15,,,,,50.0,391.93000000000006,,0,0,0,50.0,0.034482758620689655,0.012658227848101266,0.02182453077258839,0,0,0,0,0,0,0.0,0.125
2018-03-22,2018,Macau,Mauritius,macau,mauritius,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,41,2018-03-15,186.0,65.38,2018-03-15,158.0,133.61,,,,,-28.0,-68.23000000000002,,0,0,0,28.0,0.005376344086021506,0.006329113924050633,-0.000952769838029127,0,0,0,0,0,0,0.0,0.0
2018-03-23,2018,Austria,Slovenia,austria,slovenia,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,2,43,2018-03-15,28.0,825.57,2018-03-15,62.0,536.57,,,,,34.0,289.0,,0,0,0,34.0,0.03571428571428571,0.016129032258064516,0.019585253456221197,0,0,0,0,0,0,0.0,0.0
2018-03-23,2018,Azerbaijan,Belarus,azerbaijan,belarus,Friendly,1,0,1,0.0,0.5,-0.5,1.0,0.25,0.75,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0,0,1,0,44,2018-03-15,127.0,242.65,2018-03-15,93.0,375.73,,,,,-34.0,-133.08,,0,0,0,34.0,0.007874015748031496,0.010752688172043012,-0.0028786724240115157,0,0,0,0,0,0,0.0,-0.125
2018-03-23,2018,Japan,Mali,japan,mali,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,1,1,45,2018-03-15,55.0,593.07,2018-03-15,67.0,506.23,,,,,12.0,86.84000000000003,,0,0,0,12.0,0.01818181818181818,0.014925373134328358,0.003256445047489823,0,0,0,0,0,0,0.0,0.0
2018-03-23,2018,Curaçao,Bolivia,curacao,bolivia,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,46,2018-03-15,82.0,406.5,2018-03-15,47.0,673.94,,,,,-35.0,-267.44000000000005,,0,0,0,35.0,0.012195121951219513,0.02127659574468085,-0.009081473793461338,0,0,0,0,0,0,0.0,0.0
2018-03-23,2018,Cyprus,Montenegro,cyprus,montenegro,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,47,2018-03-15,92.0,378.35,2018-03-15,46.0,675.2,,,,,-46.0,-296.85,,0,0,0,46.0,0.010869565217391304,0.021739130434782608,-0.010869565217391304,0,0,0,0,0,0,0.0,0.0
